id	nom	prenom	telephone	email	adresse	ville	notes	defaultTarifId	statut	dateCreation
LOPEZ_ALBAN	lopez	alban	0651818124	alban.lopez@gmail.com	hjtf	64290 Lasseube		TARIF_STANDARD	actif	2025-06-04T18:55:43.169Z
HEPAD_LSB	hepad	lsb	0651818102	hepad@gmail.com	lsb	64290 Lasseube		TARIF_ATELIER	inactif	2025-06-04T18:57:47.785Z
HINA_LOPEZ	hina	lopez	0651818102	hina@gmail.com		64290 Lasseube		TARIF_LOWCOST	actif	2025-06-05T11:50:48.673Z
LOPEZ_HUG	lopez	hug	0651818100	lopez.hina@gmail.com		64290 Lasseube		TARIF_ATELIER	actif	2025-06-05T11:59:42.986Z
CLIENT_001	Dupont	Jean	0612345678	jean.dupont@gmail.com	12 Rue des Lilas	75001 Paris		TARIF_STANDARD	actif	2025-01-01T09:00:00.000Z
CLIENT_002	Martin	Sophie	0623456789	sophie.martin@gmail.com	45 Avenue Montaigne	69001 Lyon		TARIF_LOWCOST	actif	2025-01-01T09:15:00.000Z
CLIENT_003	Durand	Pierre	0634567890	pierre.durand@gmail.com	78 Rue de la Paix	31000 Toulouse		TARIF_ATELIER	inactif	2025-01-01T09:30:00.000Z
CLIENT_004	Leroy	Marie	0645678901	marie.leroy@gmail.com	23 Boulevard Victor Hugo	13001 Marseille		TARIF_PREMIUM	actif	2025-01-01T09:45:00.000Z
CLIENT_005	Bernard	Paul	0656789012	paul.bernard@gmail.com	56 Rue du Faubourg	33000 Bordeaux		TARIF_STANDARD	actif	2025-01-01T10:00:00.000Z
CLIENT_006	Dubois	Claire	0667890123	claire.dubois@gmail.com	89 Avenue des Champs	44000 Nantes		TARIF_ECO	actif	2025-01-01T10:15:00.000Z
CLIENT_007	Moreau	Louis	0678901234	louis.moreau@gmail.com	34 Rue de Rivoli	59000 Lille		TARIF_ATELIER	actif	2025-01-01T10:30:00.000Z
CLIENT_008	Roux	Emma	0689012345	emma.roux@gmail.com	67 Boulevard Saint-Germain	67000 Strasbourg		TARIF_VIP	inactif	2025-01-01T10:45:00.000Z
CLIENT_009	Simon	Antoine	0690123456	antoine.simon@gmail.com	90 Rue de la Liberté	06000 Nice		TARIF_STANDARD	actif	2025-01-01T11:00:00.000Z
CLIENT_010	Fournier	Julie	0611234567	julie.fournier@gmail.com	123 Avenue de France	34000 Montpellier		TARIF_LOWCOST	actif	2025-01-01T11:15:00.000Z
CLIENT_011	Girard	Thomas	0622345678	thomas.girard@gmail.com	15 Rue des Écoles	35000 Rennes		TARIF_PREMIUM	actif	2025-01-01T11:30:00.000Z
CLIENT_012	Blanc	Laura	0633456789	laura.blanc@gmail.com	47 Boulevard des Allées	21000 Dijon		TARIF_ATELIER	inactif	2025-01-01T11:45:00.000Z
